dataset,min_pval_exp,min_pval_theta
559,1.110001e-03,1.110001e-03
560,5.178353e-04,5.178353e-04
561,8.333333e-04,8.333333e-04
562,1.098119e-03,1.098119e-03
563,2.164502e-03,2.164502e-03
564,1.159951e-03,1.159951e-03
565,1.375893e-03,1.375893e-03
566,7.330890e-03,7.330890e-03
567,1.495726e-03,1.495726e-03
568,2.335859e-03,2.335859e-03
569,2.324598e-03,2.324598e-03
570,3.282432e-04,3.282432e-04
571,1.831502e-03,1.831502e-03
572,2.594628e-03,2.594628e-03
573,1.057363e-03,1.057363e-03
574,2.469136e-03,2.469136e-03
575,1.360658e-03,1.360658e-03
576,1.589946e-03,1.589946e-03
577,6.357279e-05,6.357279e-05
578,7.407407e-03,7.407407e-03
579,6.122449e-03,6.122449e-03
580,2.498454e-03,2.498454e-03
581,9.564510e-04,9.564510e-04
582,4.723700e-04,4.723700e-04
583,2.522478e-03,2.522478e-03
584,3.729604e-03,3.729604e-03
585,5.115511e-03,5.855191e-03
586,1.054410e-03,1.054410e-03
587,2.469136e-03,2.469136e-03
588,3.844872e-04,3.844872e-04
589,6.862745e-04,6.862745e-04
590,2.231102e-03,2.231102e-03
591,1.089682e-03,1.089682e-03
592,2.421415e-03,2.421415e-03
593,5.154693e-03,5.357143e-03
594,3.178428e-03,3.178428e-03
595,3.152795e-03,3.152795e-03
596,1.319900e-03,1.319900e-03
597,1.475813e-03,1.475813e-03
598,8.272856e-04,8.272856e-04
599,1.263393e-03,1.263393e-03
600,6.029736e-04,6.029736e-04
601,9.324009e-04,9.324009e-04
602,6.590632e-04,6.590632e-04
603,3.798268e-04,3.798268e-04
604,4.826962e-03,4.826962e-03
605,3.968254e-03,3.968254e-03
606,7.433420e-04,7.433420e-04
607,2.522478e-03,2.522478e-03
608,4.978355e-04,4.978355e-04
609,5.528846e-03,5.528846e-03
610,1.958359e-03,1.958359e-03
611,1.958359e-03,1.958359e-03
612,4.467532e-03,4.517142e-03
613,2.594628e-03,2.594628e-03
614,8.144719e-04,8.144719e-04
615,7.500000e-04,7.500000e-04
616,8.198151e-04,8.198151e-04
617,3.267974e-04,3.267974e-04
618,1.308216e-03,1.308216e-03
619,1.839827e-03,1.839827e-03
620,3.907743e-03,4.143677e-03
621,8.908325e-04,8.908325e-04
622,1.050932e-03,1.050932e-03
623,1.282051e-02,1.282051e-02
624,3.101530e-03,3.101530e-03
625,7.359452e-03,7.359452e-03
626,1.308216e-03,1.308216e-03
627,6.541078e-04,6.541078e-04
628,5.848866e-04,5.848866e-04
629,2.257989e-03,2.257989e-03
630,1.495726e-03,1.495726e-03
631,1.082251e-03,1.082251e-03
632,1.311189e-03,1.311189e-03
633,9.688228e-04,9.688228e-04
634,2.953813e-03,2.953813e-03
635,9.663446e-04,9.663446e-04
636,4.632644e-03,4.632644e-03
637,5.232862e-04,5.232862e-04
638,3.030303e-03,3.030303e-03
639,7.817907e-04,7.817907e-04
640,5.675264e-03,5.675264e-03
641,5.424063e-03,5.424063e-03
642,1.091711e-03,1.091711e-03
643,8.458719e-04,8.458719e-04
644,1.589320e-04,1.589320e-04
645,7.172315e-04,7.172315e-04
646,1.348139e-03,1.348139e-03
647,7.215007e-04,7.215007e-04
648,4.395604e-03,4.395604e-03
649,6.579004e-04,6.579004e-04
650,3.205128e-03,3.205128e-03
651,1.124295e-04,1.124295e-04
652,8.333333e-03,8.333333e-03
