pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CMTR2_N-?-KRAS_M,2,1,3.000000,3,,1.142857e-01
ANK2_N-?-ARID2_M,2,1,2.000000,2,,3.047619e-01
TP53_M->-PIK3CA_M,2,1,5.000000,5,,1.719931e-01
TP53_M->-ASXL2_M,2,1,5.000000,5,,1.182105e-02
EGFR_M-?-TP53_M,2,1,5.000000,5,,5.360195e-01
TP53_M->-ATM_M,2,1,5.000000,5,,9.080427e-03
KRAS_M-?-U2AF1_M,2,1,4.000000,4,,2.142857e-01
KRAS_M-?-RAD21_M,2,1,4.000000,4,,1.295159e-01
CMTR2_M-?-KRAS_M,2,1,3.000000,3,,2.488889e-01
SGK223_M-?-TP53_M,2,1,4.000000,4,,3.620513e-01
KRAS_M-?-SGK223_M KRAS_M-?-TP53_M SGK223_M-?-TP53_M,3,3,2.000000,2,,1.538462e-01
CREBBP_M-?-ZMYM2_M,2,1,2.000000,2,,1.944444e-01
KRAS_M-?-SMARCA4_M,2,1,5.000000,5,,9.217462e-01
TP53_M->-CYLD_M,2,1,5.000000,5,,2.777583e-03
FAT1_N-?-NOTCH1_M,2,1,3.000000,3,,1.339286e-01
FBXW7_M-?-TP53_M,2,1,4.000000,4,,5.750472e-01
CDKN2A_N-?-TP53_N,2,1,3.000000,3,,2.316850e-01
KEAP1_N-?-STK11_M,2,1,4.000000,4,,3.379870e-01
KEAP1_N-?-STK11_M KEAP1_N-?-TP53_M STK11_M-?-TP53_M,3,3,2.000000,2,,1.000000e+00
NOTCH1_N-?-TP53_N,2,1,2.000000,2,,1.396825e-01
KRAS_M-?-RYR2_N,2,1,3.000000,3,,3.500000e-01
KRAS_M-?-RYR2_N KRAS_M-?-TP53_M RYR2_N-?-TP53_M,3,3,2.000000,2,,1.666667e-01
GATA3_M-?-TP53_M,2,1,4.000000,4,,5.073529e-01
CDKN2A_M-?-KEAP1_M,2,1,2.000000,2,,1.745455e-01
CASP8_M-?-TP53_N,2,1,2.000000,2,,3.589744e-01
EP300_M-?-KEAP1_M,2,1,2.000000,2,,2.307692e-01
DICER1_M-?-KRAS_M,2,1,2.000000,2,,2.222222e-01
FANCM_M-?-KRAS_M,2,1,2.000000,2,,3.515437e-01
FH_M-?-TP53_M,2,1,3.000000,3,,2.171053e-01
TP53_M-?-TP53_N,2,1,4.000000,4,,1.607143e-01
CTCF_M-?-KRAS_M,2,1,2.000000,2,,2.816883e-01
B2M_M-?-TP53_M,2,1,2.000000,2,,5.205026e-01
KRAS_M->-TET2_M,2,1,5.000000,5,,1.590136e-03
MGA_N-?-PTPRB_M,2,1,2.000000,2,,2.417582e-01
KRAS_M-?-POLE_M,2,1,3.000000,3,,8.666667e-02
CREBBP_M-?-NRXN1_N CREBBP_M-?-TP53_M NRXN1_N-?-TP53_M,3,3,2.000000,2,,1.561275e-01
SETD2_N-?-TP53_M,2,1,4.000000,4,,4.734703e-01
KRAS_M-?-SETD2_N KRAS_M-?-TP53_M SETD2_N-?-TP53_M,3,3,3.000000,3,,1.363636e-01
GRIN2A_M-?-SMARCA4_N GRIN2A_M-?-TP53_M SMARCA4_N-?-TP53_M,3,3,2.000000,2,,2.121212e-01
CDKN2A_N-?-NFE2L2_M,2,1,2.000000,2,,1.863553e-01
MTOR_M-?-TP53_M,2,1,3.000000,3,,4.068477e-01
RIT1_M-?-TP53_M,2,1,2.000000,2,,3.893939e-01
CDKN2A_N-?-KRAS_M,2,1,4.000000,4,,2.444444e-01
KMT2D_M-?-KMT2D_N,2,1,2.000000,2,,2.424242e-01
TP53_M-?-UBR5_M,2,1,2.000000,2,,9.982447e-01
CDKN2A_M-?-CREBBP_M CDKN2A_M-?-NFE2L2_M CREBBP_M-?-NFE2L2_M,3,3,2.000000,2,,9.324009e-02
CDKN2A_M-?-KMT2C_M CDKN2A_M-?-TP53_M KMT2C_M-?-TP53_M,3,3,2.000000,2,,1.282051e-01
CMTR2_M-?-TP53_M,2,1,4.000000,4,,6.926496e-01
ATM_M-?-STK11_N,2,1,3.000000,3,,3.500000e-01
ATM_M-?-KRAS_M ATM_M-?-STK11_N KRAS_M-?-STK11_N,3,3,2.000000,2,,4.000000e-01
NF1_M-?-PLXNB2_M,2,1,2.000000,2,,2.457265e-01
CTCF_M-?-TP53_N,2,1,2.000000,2,,1.207792e-01
KRAS_M->-SMARCA4_M,2,1,4.750000,5,,6.140425e-03
NCOR1_M-?-TSC1_M,2,1,2.000000,2,,7.230923e-02
KRAS_M->-PTPRC_M,2,1,4.000000,4,,5.528775e-02
DOT1L_M-?-KRAS_M,2,1,4.000000,4,,1.000000e+00
KRAS_M-?-TSC2_M,2,1,3.000000,3,,3.762963e-01
KEAP1_N-?-KRAS_M,2,1,4.000000,4,,5.732143e-01
GRIN2A_M-?-KRAS_M GRIN2A_M-?-NF1_M KRAS_M-?-NF1_M,3,3,2.000000,2,,4.833333e-01
KMT2B_M-?-RAD21_M,2,1,2.000000,2,,5.090909e-01
KRAS_M-?-NCOR1_M,2,1,2.000000,2,,7.872281e-01
CSMD3_N-?-TP53_M,2,1,3.000000,3,,3.401361e-01
ARID1A_N-?-KRAS_M,2,1,4.000000,4,,6.518939e-01
FANCM_N-?-TP53_M,2,1,3.000000,3,,8.917484e-01
CYLD_M-?-FBXW7_M,2,1,2.000000,2,,1.904762e-01
NFE2L2_M->-UBR5_M NFE2L2_M-?-TP53_M TP53_M->-UBR5_M,3,3,4.000000,4,,2.034329e-04
CDKN2A_M-?-NOTCH1_N,2,1,3.000000,3,,3.492063e-01
