rank,pvalue,fdr_theta
480,5.750472e-01,0.803651
481,5.809524e-01,0.808492
482,5.812672e-01,0.807758
483,5.833333e-01,0.807744
484,5.833333e-01,0.807744
485,5.853432e-01,0.807630
486,5.897436e-01,0.809059
487,5.897436e-01,0.809059
488,5.897436e-01,0.809059
489,5.911111e-01,0.809293
490,5.939443e-01,0.808872
491,6.000000e-01,0.810885
492,6.000000e-01,0.810885
493,6.071429e-01,0.815023
494,6.096384e-01,0.814647
495,6.195941e-01,0.817875
496,6.209365e-01,0.817199
497,6.222222e-01,0.817301
498,6.222222e-01,0.817301
499,6.250000e-01,0.816722
500,6.250000e-01,0.816722
501,6.250000e-01,0.816722
502,6.250000e-01,0.816722
503,6.265686e-01,0.815648
504,6.346154e-01,0.817480
505,6.500000e-01,0.821626
506,6.500000e-01,0.821626
507,6.516338e-01,0.820195
508,6.518939e-01,0.819874
509,6.592593e-01,0.822781
510,6.630236e-01,0.822862
511,6.666667e-01,0.832172
512,6.666667e-01,0.832172
513,6.666667e-01,0.832172
514,6.736508e-01,0.833961
515,6.764706e-01,0.835492
516,6.764706e-01,0.835492
517,6.853030e-01,0.839319
518,6.894160e-01,0.841962
519,6.914853e-01,0.840515
520,6.926496e-01,0.840510
521,7.000000e-01,0.844055
522,7.000000e-01,0.844055
523,7.012605e-01,0.842926
524,7.090909e-01,0.845906
525,7.123869e-01,0.847554
526,7.141357e-01,0.847891
527,7.142857e-01,0.848550
528,7.142857e-01,0.848550
529,7.142857e-01,0.848550
530,7.142857e-01,0.848550
531,7.151383e-01,0.848114
532,7.187257e-01,0.846925
533,7.200000e-01,0.848405
534,7.312500e-01,0.855444
535,7.370754e-01,0.856708
536,7.407407e-01,0.856343
537,7.455711e-01,0.856544
538,7.500000e-01,0.856665
539,7.500000e-01,0.856665
540,7.500000e-01,0.856665
541,7.500000e-01,0.856665
542,7.612533e-01,0.860484
543,7.686141e-01,0.862214
544,7.692308e-01,0.861230
545,7.692308e-01,0.861230
546,7.692308e-01,0.861230
547,7.692308e-01,0.861230
548,7.692308e-01,0.861230
549,7.692308e-01,0.861230
550,7.701465e-01,0.860512
551,7.748724e-01,0.862194
552,7.765926e-01,0.862269
553,7.777778e-01,0.863921
554,7.777778e-01,0.863921
555,7.777778e-01,0.863921
556,7.777778e-01,0.863921
557,7.777778e-01,0.863921
558,7.805820e-01,0.864606
559,7.818182e-01,0.863917
560,7.843137e-01,0.863390
561,7.872281e-01,0.864142
562,7.979798e-01,0.868138
563,7.986111e-01,0.867748
564,8.161743e-01,0.870059
565,8.181818e-01,0.869496
566,8.305322e-01,0.876244
567,8.308065e-01,0.875199
568,8.333333e-01,0.875460
569,8.333333e-01,0.875460
570,8.388889e-01,0.874918
571,8.431618e-01,0.877149
572,8.461538e-01,0.878773
573,8.461538e-01,0.878773
574,8.461538e-01,0.878773
575,8.461538e-01,0.878773
576,8.461538e-01,0.878773
577,8.461538e-01,0.878773
578,8.461538e-01,0.878773
579,8.623016e-01,0.885054
580,8.630600e-01,0.885541
581,8.640000e-01,0.885143
582,8.666667e-01,0.886728
583,8.666667e-01,0.886728
584,8.736264e-01,0.887247
585,8.802690e-01,0.889511
586,8.809524e-01,0.889324
587,8.912727e-01,0.892202
588,8.917484e-01,0.892531
589,9.030303e-01,0.894311
590,9.051405e-01,0.893818
591,9.088010e-01,0.893089
592,9.111111e-01,0.893229
593,9.208502e-01,0.897608
594,9.350812e-01,0.903015
595,9.495791e-01,0.907175
596,9.690171e-01,0.912543
597,9.775027e-01,0.912680
598,9.775611e-01,0.911314
599,9.821429e-01,0.911727
600,9.874777e-01,0.911200
601,9.982447e-01,0.911661
602,1.000000e+00,0.923307
603,1.000000e+00,0.923307
604,1.000000e+00,0.923307
605,1.000000e+00,0.923307
606,1.000000e+00,0.923307
607,1.000000e+00,0.923307
608,1.000000e+00,0.923307
609,1.000000e+00,0.923307
610,1.000000e+00,0.923307
611,1.000000e+00,0.923307
612,1.000000e+00,0.923307
613,1.000000e+00,0.923307
614,1.000000e+00,0.923307
615,1.000000e+00,0.923307
616,1.000000e+00,0.923307
617,1.000000e+00,0.923307
618,1.000000e+00,0.923307
619,1.000000e+00,0.923307
620,1.000000e+00,0.923307
621,1.000000e+00,0.923307
622,1.000000e+00,0.923307
623,1.000000e+00,0.923307
624,1.000000e+00,0.923307
625,1.000000e+00,0.923307
626,1.000000e+00,0.923307
627,1.000000e+00,0.923307
628,1.000000e+00,0.923307
629,1.000000e+00,0.923307
630,1.000000e+00,0.923307
631,1.000000e+00,0.923307
632,1.000000e+00,0.923307
633,1.000000e+00,0.923307
634,1.000000e+00,0.923307
635,1.000000e+00,0.923307
636,1.000000e+00,0.923307
637,1.000000e+00,0.923307
638,1.000000e+00,0.923307
639,1.000000e+00,0.923307
640,1.000000e+00,0.923307
641,1.000000e+00,0.923307
642,1.000000e+00,0.923307
643,1.000000e+00,0.923307
644,1.000000e+00,0.923307
645,1.000000e+00,0.923307
646,1.000000e+00,0.923307
647,1.000000e+00,0.923307
648,1.000000e+00,0.923307
