pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
KMT2C->-MAP3K1 KMT2C->-PIK3CA MAP3K1->-PIK3CA,3,3,2.000000,2,6.737977e-01,
TP53->-ATRX,2,1,10.000000,10,1.251908e-03,
TP53->-CARD11,2,1,10.000000,10,5.934989e-03,
TP53->-NOTCH2,2,1,10.000000,10,1.511409e-03,
PIK3CA->-CREBBP,2,1,10.000000,10,1.109802e-01,
PIK3CA->-CREBBP TP53->-CREBBP TP53->-PIK3CA,3,3,3.000000,3,3.251848e-02,
TP53->-EP300,2,1,10.000000,10,1.257790e-02,
GATA3->-ARID1A,2,1,10.000000,10,5.355385e-01,
GATA3->-ARID1A PIK3CA->-ARID1A PIK3CA->-GATA3,3,3,2.000000,2,3.429348e-01,
GATA3->-ARID1A GATA3->-PIK3CA MAP3K1->-ARID1A MAP3K1->-GATA3 MAP3K1->-PIK3CA PIK3CA->-ARID1A,4,6,2.000000,2,5.063657e-03,
TP53->-MAP2K4,2,1,10.000000,10,2.118355e-01,
ESR1->-GATA3,2,1,10.000000,10,3.402832e-01,
ESR1->-GATA3 PIK3CA->-ESR1 PIK3CA->-GATA3,3,3,3.000000,3,1.318080e-01,
CDH1->-GATA3,2,1,10.000000,10,1.328117e-02,
CDH1->-GATA3 CDH1->-PIK3CA PIK3CA->-GATA3,3,3,4.000000,4,1.796989e-02,
CDH1->-GATA3 PIK3CA->-CDH1 PIK3CA->-GATA3,3,3,2.000000,2,3.246747e-01,
CDH1->-ESR1 CDH1->-GATA3 ESR1->-GATA3,3,3,3.000000,3,4.629630e-03,
CDH1->-ESR1 CDH1->-GATA3 CDH1->-PIK3CA ESR1->-GATA3 PIK3CA->-ESR1 PIK3CA->-GATA3,4,6,2.000000,2,1.736111e-03,
PIK3CA->-FLT4,2,1,10.000000,10,2.091833e-02,
PIK3CA->-FLT4 TP53->-FLT4 TP53->-PIK3CA,3,3,2.000000,2,1.321960e-01,
PIK3CA->-FLT4 PIK3CA->-TP53 TP53->-FLT4,3,3,2.000000,2,1.321960e-01,
PIK3CA->-MED12,2,1,10.000000,10,9.069556e-03,
PIK3CA->-MED12 TP53->-MED12 TP53->-PIK3CA,3,3,2.000000,2,1.241939e-01,
PIK3CA->-MED12 PIK3CA->-TP53 TP53->-MED12,3,3,2.000000,2,1.241939e-01,
ERBB2->-CDH1,2,1,10.000000,10,9.556684e-01,
TP53->-ARID1B,2,1,10.000000,10,4.892981e-02,
ERBB2->-PIK3CA,2,1,10.000000,10,3.610416e-01,
CDH1->-ERBB2 CDH1->-PIK3CA ERBB2->-PIK3CA,3,3,5.000000,5,1.612222e-02,
TP53->-PTPRT,2,1,10.000000,10,2.911352e-03,
PIK3CA->-PTPRT TP53->-PIK3CA TP53->-PTPRT,3,3,3.000000,3,8.654172e-02,
PIK3CA->-PTPRT PIK3CA->-TP53 TP53->-PTPRT,3,3,4.000000,4,1.581302e-02,
TP53->-BARD1,2,1,10.000000,10,1.500496e-04,
TP53->-SPEN,2,1,10.000000,10,2.117550e-02,
